Title,Genre,Year,Score,Description
Зарождение,"Action, Adventure, Sci-Fi",2010,8.8,"Вору, который крадет корпоративные секреты с помощью технологии обмена сновидениями, дается обратная задача — внедрить идею в сознание генерального директора."
Возрождение Темного Рыцаря,"Action, Thriller",2012,8.4,"Спустя восемь лет после анархического правления Джокера Бэтмен с помощью загадочной Женщины-кошки вынужден покинуть свое изгнание, чтобы спасти Готэм-сити, находящийся на грани полного уничтожения, от жестокого партизана-террориста Бейна."
Интерстеллар,"Adventure, Drama, Sci-Fi",2014,8.6,"Группа исследователей отправляется в путешествие через червоточину в космосе, пытаясь обеспечить выживание человечества."
Джанго Освобожденный,"Drama, Western",2012,8.4,С помощью немецкого охотника за головами освобожденный раб отправляется спасти свою жену от жестокого владельца плантации из Миссисипи.
Мстители в сборе,"Action, Adventure, Sci-Fi",2012,8.1,"Самые могущественные герои Земли должны объединиться и научиться сражаться как команда, если они хотят помешать злобному Локи и его инопланетной армии поработить человечество."
Волк с Уолл-стрит,"Biography, Comedy, Crime",2013,8.2,"Основано на реальной истории Джордана Белфорта, от его восхождения к богатому биржевому брокеру, ведущему роскошную жизнь, до его падения, связанного с преступностью, коррупцией и федеральным правительством."
Остров Шаттер,"Mystery, Thriller",2010,8.1,"В 1954 году маршал США расследует исчезновение убийцы, сбежавшего из больницы для душевнобольных преступников."
Стражи Галактики,"Action, Adventure, Comedy",2014,8.1,"Группа межгалактических преступников вынуждена объединить усилия, чтобы помешать фанатичному воину захватить власть над вселенной."
Голодные игры,"Adventure, Sci-Fi, Thriller",2012,7.2,"Китнисс Эвердин добровольно занимает место своей младшей сестры в Голодных играх: телевизионном соревновании, в котором два подростка из каждого из двенадцати округов Панема выбираются случайным образом и сражаются не на жизнь, а на смерть."
"Тотализатор, где делаются ставки на смерть знаменитостей","Action, Adventure, Comedy",2016,8.0,"Болтливый наемник с болезненным чувством юмора становится объектом опасного эксперимента, в результате которого у него появляются способности к ускоренному исцелению и желание отомстить."
Звездные войны: Эпизод VII - Пробуждение силы,"Action, Adventure, Fantasy",2015,8.0,Спустя три десятилетия после поражения Империи в воинствующем Первом Ордене возникает новая угроза. Перебежчик-штурмовик Финн и мусорщица Рей оказываются втянутыми в поиски Сопротивления пропавшего Люка Скайуокера.
Безумный Макс: Дорога ярости,"Action, Adventure, Sci-Fi",2015,8.1,"В постапокалиптической пустоши женщина восстает против тиранического правителя и отправляется на поиски своей родины с помощью группы женщин-заключенных, психопата-поклонника и бродяги по имени Макс."
Исчезнувшая Девушка,"Crime, Drama, Mystery",2014,8.1,"Поскольку исчезновение его жены оказалось в центре пристального внимания СМИ, мужчина оказался в центре внимания, когда возникли подозрения, что он может быть невиновен."
Хоббит: Нежданное путешествие,"Adventure, Family, Fantasy",2012,7.9,"Нерешительный хоббит Бильбо Бэггинс отправляется в Одинокую гору с группой отважных гномов, чтобы отвоевать свой горный дом и находящееся в нем золото у дракона Смога."
Гравитация,"Drama, Sci-Fi, Thriller",2013,7.7,"Два астронавта работают вместе, чтобы выжить после аварии, в результате которой они оказались заперты в космосе."
Гарри Поттер и Дары Смерти: Часть 2,"Adventure, Drama, Fantasy",2011,8.1,"Гарри, Рон и Гермиона ищут оставшиеся крестражи Волан-де-Морта, пытаясь уничтожить Темного Лорда, в то время как в Хогвартсе бушует финальная битва."
