title,authors,published_year,categories,thumbnail,description,average_rating,num_pages
Галаад,Marilynne Robinson,2004.0,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Роман, который читатели и критики с нетерпением ожидают более десяти лет, Галаад - удивительно воображаемая история замечательной жизни.Джон Эймс - проповедник, сын проповедника и внук (как материнская, так и отцовская) проповедников.В 1956 году в Галааде, штат Айова, к концу жизни Преподобного Эймса, и он поглощен записи истории своей семьи, наследие для маленького сына, которого он никогда не увидит.Принятый присутствием своего деда, Джон рассказывает о разрыве между дедушкой и отцом: старшим, злым провидцем, который боролся за аболиционистское дело, и его сын, горячий пацифист.Он тоже обеспокоен своей блудной тезкой, Джеком (Джон Эймс) Баутона, потерянного сына его лучшего друга, который возвращается в Гилаад в поисках прощения и искупления.Сказанный в радостном, бессвязном голосе Джона Эймса, который находит красоту, юмор и правду в самых маленьких деталях жизни, Gilead - это песня празднования и принятия лучших и худшего, которое может предложить мир.В своей основе рассказывается о священных связях между отцами и сыновьями, идеально подходящими в стиле и истории, чтобы ослепить критиков и читателей.",3.85,247.0
Паутина,Charles Osborne;Agatha Christie,2000.0,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Новый «Кристи на Рождество»-полнометражный роман, адаптированный к ее известной игре Чарльза Осборна после Черного кофе, и неожиданный гость, приходит в финальную новинку «Агата Кристи», принося ее превосходное рассказывание историй к новому легиону фанатов.Кларисса, жена дипломата иностранных дел, дается мечтанию.«Предположим, что я должен был спуститься однажды утром и найти мертвое тело в библиотеке, что мне делать?»она размышляет.У Кларизы есть шанс узнать, когда она обнаруживает тело в гостиной своего дома в Кенте.Отчаянно пытаясь избавиться от тела до того, как ее муж вернется домой с важным иностранным политиком, Кларисса убеждает своих трех гостей дома стать аксессуарами и сообщниками.Похоже, что убитый человек не был неизвестен некоторым членам партии Палаты представителей (но какие из них?), И поиск начинается для убийцы и мотива, в то же время пытаясь убедить инспектора полиции, что не было никакогоУбийство вообще ... Интернет -паук был написан в 1954 году специально для Маргарет Локвуд и открылся первым в Королевском театре Ноттингеме, прежде чем переехать в театр Савойя в Лондоне 14 декабря 1954 года. С мышечкой и WI",3.83,241.0
Ярость ангелов,Sidney Sheldon,1993.0,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Запоминающаяся, завораживающая героиня Дженнифер - блестящая, красивая, адвокат на пути вверх до тех пор, пока схемы мафии не выиграют ей ненависть к непримиримому врагу - и любовь, более разрушительная, чем ненависть.Опасный, драматический мир. Темная арена организованной преступности и зажигания флешбульбы зажгла залы, где амбициозные прокуроры начинают восхождение на политическую власть.",3.93,512.0
Четыре Любви,Clive Staples Lewis,2002.0,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Работа Льюиса над природой любви разделяет любовь на четыре категории;Привязанность, дружба, эрос и благотворительность.Первые три приходят естественно к человечеству.Благотворительность, однако, дар Божья, божественная, и без этой сверхъестественной любви естественная любовь становится искаженной и даже опасной.",4.15,170.0
Проблема боли,Clive Staples Lewis,2002.0,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"«В проблеме боли К.С. Льюис, один из самых известных христианских авторов и мыслителей, рассматривает универсально применимый вопрос в состоянии человека: если Бог добрый и всемогущий, почему он позволяет своим созданиям страдать от боли?Его подпись богатство сострадания и проницательности, К.С. Льюис предлагает ответы на эти важные вопросы и разделяет его надежду и мудрость, чтобы помочь исцелить мир, жаждущий истинного понимания человеческой природы »-Амазон.",4.09,176.0
Империи муссонов,Richard Hall,1998.0,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Пока Васко да Гама не обнаружил морской маршрут на востоке в 1497-9, почти ничего не было известно на западе экзотических культур и богатства Индийского океана и его народов.Именно эта цивилизация и ее разрушение со стороны Запада воссоздают Ричард Холл в этой книге.История исследования и эксплуатации Холла китайскими и арабскими путешественниками, а также португальскими, голландскими и британцами - одна из жестокости, предательства и колониальных амбиций.",4.41,608.0
Пропасть в безумие,Stephen R. Donaldson,1994.0,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Новое переиздание четвертой книги в бестселлере SF Series, созданном всемирно известным автором Thomas Covenant Chronicles-и признается «лучшей работой в его карьере».События не двигались, как намеревался амнион.Люди снова были ложными в своих отношениях с инопланетянами.Когда минор планетоида Танатоса взорвался в атомы, труба поднялась в космос только на шаг впереди враждебных преследователей.На борту были Морн Хайленд и ее выращенный в силе сын Дэвис, киборг Ангус Термопил и капитан Ник Сукорсо-старые враги, объединенные в отчаянную заявку на выживание.Как для амниона, так и для UMCP, непосредственный захват бегущего корабля и секретов, которые он содержал, был обязательным.Но для истощенной команды трубы единственная надежда лежала в незаконной лаборатории в далекой бинарной солнечной системе Valdor Industrial.Это было бы путешествием непредсказуемой опасности, из которой не все вернется ...",4.15,743.0
Если наступит завтра,Sidney Sheldon,1994.0,Adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Один из самых популярных и бестселлеров Сидни Шелдона, переупакованный и переизданный для нового поколения фанатов.",4.04,501.0
Ученик убийцы,Robin Hobb,1996.0,American fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Фэнтезийно-римский.,4.15,460.0
Воинство Вастмарка,Janny Wurts,1995.0,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Еще раз обманут его хитрым сводным сводным братом, Лизаером, лордом света, прибывает в крошечный гавань-город Мерор, чтобы обнаружить, что корабль Аритона были заброшены и тщательно разрушены, и что Мастер Тень исчез, как будто в воздухПолемТем временем Аритон и Безумный Пророк Дакар путешествуют пешком через коварные горы Келхорн в направлении кланов с огромными классами, чтобы повысить поддержку его дела.Но поднятие военного дома - дорогостоящий бизнес.Является ли просто совпадение, что принцесса Талит - прекрасная, упрямая жена Лисаера - взята в плен и удерживается за огромный выкуп мастером -бригадом?Силы света и теневого круга и Файнта, приближаясь к огромному конфликту.И на заднем плане общение семи колдунов и корейских чарферей смотрят и планируют, и подождите.",4.03,522.0
