Title,Genre,Year,Score,Description,Poster_URL
Зарождение,"Action, Adventure, Sci-Fi",2010,8.8,"Вору, который крадет корпоративные секреты с помощью технологии обмена сновидениями, дается обратная задача — внедрить идею в сознание генерального директора.",https://image.tmdb.org/t/p/w500/tb86j8jVCVsdZnzf8I6cIi65IeM.jpg
Возрождение Темного Рыцаря,"Action, Thriller",2012,8.4,"Спустя восемь лет после анархического правления Джокера Бэтмен с помощью загадочной Женщины-кошки вынужден покинуть свое изгнание, чтобы спасти Готэм-сити, находящийся на грани полного уничтожения, от жестокого партизана-террориста Бейна.",https://image.tmdb.org/t/p/w500/arEZYd6uMOFTILne9Ux0A8qctMe.jpg
Интерстеллар,"Adventure, Drama, Sci-Fi",2014,8.6,"Группа исследователей отправляется в путешествие через червоточину в космосе, пытаясь обеспечить выживание человечества.",https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
Джанго Освобожденный,"Drama, Western",2012,8.4,С помощью немецкого охотника за головами освобожденный раб отправляется спасти свою жену от жестокого владельца плантации из Миссисипи.,https://image.tmdb.org/t/p/w500/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg
Мстители в сборе,"Action, Adventure, Sci-Fi",2012,8.1,"Самые могущественные герои Земли должны объединиться и научиться сражаться как команда, если они хотят помешать злобному Локи и его инопланетной армии поработить человечество.",https://image.tmdb.org/t/p/w500/xUBZNoY7idPfqKZepnDEv7Qc8GC.jpg
Волк с Уолл-стрит,"Biography, Comedy, Crime",2013,8.2,"Основано на реальной истории Джордана Белфорта, от его восхождения к богатому биржевому брокеру, ведущему роскошную жизнь, до его падения, связанного с преступностью, коррупцией и федеральным правительством.",https://image.tmdb.org/t/p/w500/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg
Остров Шаттер,"Mystery, Thriller",2010,8.1,"В 1954 году маршал США расследует исчезновение убийцы, сбежавшего из больницы для душевнобольных преступников.",https://image.tmdb.org/t/p/w500/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg
Стражи Галактики,"Action, Adventure, Comedy",2014,8.1,"Группа межгалактических преступников вынуждена объединить усилия, чтобы помешать фанатичному воину захватить власть над вселенной.",https://image.tmdb.org/t/p/w500/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg
Голодные игры,"Adventure, Sci-Fi, Thriller",2012,7.2,"Китнисс Эвердин добровольно занимает место своей младшей сестры в Голодных играх: телевизионном соревновании, в котором два подростка из каждого из двенадцати округов Панема выбираются случайным образом и сражаются не на жизнь, а на смерть.",https://image.tmdb.org/t/p/w500/mBaXZ95R2OxueZhvQbcEWy2DqyO.jpg
"Тотализатор, где делаются ставки на смерть знаменитостей","Action, Adventure, Comedy",2016,8,"Болтливый наемник с болезненным чувством юмора становится объектом опасного эксперимента, в результате которого у него появляются способности к ускоренному исцелению и желание отомстить.",https://image.tmdb.org/t/p/w500/3E53WEZJqP6aM84D8CckXx4pIHw.jpg
Звездные войны: Эпизод VII - Пробуждение силы,"Action, Adventure, Fantasy",2015,8,Спустя три десятилетия после поражения Империи в воинствующем Первом Ордене возникает новая угроза. Перебежчик-штурмовик Финн и мусорщица Рей оказываются втянутыми в поиски Сопротивления пропавшего Люка Скайуокера.,https://image.tmdb.org/t/p/w500/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg
Безумный Макс: Дорога ярости,"Action, Adventure, Sci-Fi",2015,8.1,"В постапокалиптической пустоши женщина восстает против тиранического правителя и отправляется на поиски своей родины с помощью группы женщин-заключенных, психопата-поклонника и бродяги по имени Макс.",https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg
Исчезнувшая Девушка,"Crime, Drama, Mystery",2014,8.1,"Поскольку исчезновение его жены оказалось в центре пристального внимания СМИ, мужчина оказался в центре внимания, когда возникли подозрения, что он может быть невиновен.",https://image.tmdb.org/t/p/w500/ts996lKsxvjkO2yiYG0ht4qAicO.jpg
Хоббит: Нежданное путешествие,"Adventure, Family, Fantasy",2012,7.9,"Нерешительный хоббит Бильбо Бэггинс отправляется в Одинокую гору с группой отважных гномов, чтобы отвоевать свой горный дом и находящееся в нем золото у дракона Смога.",https://image.tmdb.org/t/p/w500/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg
Гравитация,"Drama, Sci-Fi, Thriller",2013,7.7,"Два астронавта работают вместе, чтобы выжить после аварии, в результате которой они оказались заперты в космосе.",https://image.tmdb.org/t/p/w500/uBIZooDgf2lk4gknekg7oI49IVU.jpg
Гарри Поттер и Дары Смерти: Часть 2,"Adventure, Drama, Fantasy",2011,8.1,"Гарри, Рон и Гермиона ищут оставшиеся крестражи Волан-де-Морта, пытаясь уничтожить Темного Лорда, в то время как в Хогвартсе бушует финальная битва.",https://image.tmdb.org/t/p/w500/c54HpQmuwXjHq2C9wmoACjxoom3.jpg
Железный человек 3,"Action, Adventure, Sci-Fi",2013,7.2,"Когда мир Тони Старка разрывает на части грозный террорист по имени Мандарин, он начинает одиссею восстановления и возмездия.",https://image.tmdb.org/t/p/w500/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg
История игрушек 3,"Animation, Adventure, Comedy",2010,8.3,"Игрушки по ошибке доставляют в детский сад вместо чердака прямо перед отъездом Энди в колледж, и Вуди приходится убедить другие игрушки, что их не бросили, и вернуть домой.",https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg
Тор,"Action, Adventure, Fantasy",2011,7,"Могущественный, но высокомерный бог Тор изгнан из Асгарда, чтобы жить среди людей в Мидгарде (Земле), где он вскоре становится одним из их лучших защитников.",https://image.tmdb.org/t/p/w500/coTYtoFZcN9Eb9BMLKkhmchCOky.jpg
Марсианин,"Adventure, Drama, Sci-Fi",2015,8,"Астронавт оказывается застрявшим на Марсе после того, как его команда сочла его погибшим, и должен положиться на свою изобретательность, чтобы найти способ подать на Землю сигнал о том, что он жив.",https://image.tmdb.org/t/p/w500/1x3IYzh2PJIqpfuCbLy7YC1Cjnx.jpg
Неприкасаемый,"Biography, Comedy, Drama",2011,8.5,"После того, как он стал полностью парализованным из-за несчастного случая во время полета на параплане, аристократ нанимает молодого человека из пригорода в качестве своего опекуна.",https://image.tmdb.org/t/p/w500/m0KYyVtMASYFFF9vEZF9Kn6V94L.jpg
Черный лебедь,"Drama, Thriller",2010,8,"Преданная своему делу танцовщица получает главную роль в постановке «Лебединого озера» Чайковского, но вскоре обнаруживает, что ей трудно сохранить рассудок.",https://image.tmdb.org/t/p/w500/zkE5Bw1uZBjNtqtU20K4dtnGmh8.jpg
Еловек из стали,"Action, Adventure, Fantasy",2013,7.1,"Кларк Кент, один из последних представителей вымершей расы, маскирующийся под ничем не примечательного человека, вынужден раскрыть свою личность, когда на Землю вторгается армия выживших, которые угрожают поставить планету на грань уничтожения.",https://image.tmdb.org/t/p/w500/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg
Капитан Америка: Первый мститель,"Action, Adventure, Sci-Fi",2011,6.9,"Стив Роджерс, отвергнутый военный, превращается в Капитана Америку после приема дозы «сыворотки Суперсолдата». Но быть Капитаном Америкой имеет свою цену, когда он пытается уничтожить поджигателя войны и террористическую организацию.",https://image.tmdb.org/t/p/w500/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg
Капитан Америка: Зимний Солдат,"Action, Adventure, Sci-Fi",2014,7.8,"Пока Стив Роджерс пытается принять свою роль в современном мире, он объединяется с коллегой из Мстителей и агентом Щ.И.Т.а, Черной Вдовой, чтобы сразиться с новой угрозой из прошлого: убийцей, известным как Зимний Солдат.",https://image.tmdb.org/t/p/w500/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg
Железный человек 2,"Action, Sci-Fi",2010,7,"Теперь, когда весь мир знает, что Тони Старк — Железный Человек, ему приходится бороться как со своим ухудшающимся здоровьем, так и с мстительным безумцем, связанным с наследием его отца.",https://image.tmdb.org/t/p/w500/78lPtwv72eTNqFW9COBYI0dWDJa.jpg
